Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
The Ultimate Evil and Hatred,Baby Janemba,120,10-Jan,UR,Extreme AGL,11673,"[""Additional Attack"", ""Boost All"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","AGL Type Ki +3 and HP, ATK & DEF +80%",Gigantic Breaker,"Raises ATK[1], causes immense damage to enemy and massively lowers DEF[2]",For the Future We Must Protect,Ki +2 and DEF +160%; ATK +160% when performing a Super Attack; high chance[3] of evading enemy's attack (including Super Attack); launches an additional Super Attack with 6 or more Ki Spheres obtained,"[""Transformation Boost"", ""Artificial Life Forms"", ""Terrifying Conquerors"", ""Dragon Ball Heroes"", ""Crossover"", ""Corroded Body and Mind""]","[""2567"", ""8474"", ""10474"", ""13074""]","[""2465"", ""8134"", ""10134"", ""13134""]","[""1428"", ""4717"", ""6717"", ""10117""]",,,,,,,,,,,,,,,,,,,,,,,,,
All-New Power,Super Saiyan 3 Trunks (Teen),120,10-Jan,UR,Super AGL,11674,"[""Boost Type"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery""]","AGL Type Ki +3 and HP, ATK & DEF +80%",Explosive Blast,Causes supreme damage to enemy and raises ATK & DEF by 30% for 6 turns,Our Will to Survive,"Ki +3 and ATK & DEF +60%, plus an additional ATK & DEF +60% when performing a Super Attack; plus an additional ATK +60% for 3 turns after receiving attack; ""Androids-Cell Saga"" Category allies' ATK +20%","[""Hybrid Saiyans"", ""Super Saiyan 3"", ""Time Travelers"", ""Vegeta's Family"", ""Bond of Master and Disciple"", ""Dragon Ball Heroes"", ""Battle of Wits"", ""Crossover""]","[""3026"", ""9989"", ""11989"", ""14589""]","[""2428"", ""8017"", ""10017"", ""13017""]","[""1744"", ""5758"", ""7758"", ""11158""]",,,,,,,,,,,,,,,,,,,,,,,,,
Intensely Trained Body and Mind,Super Paikuhan,120,10-Jan,UR,Super STR,11675,"[""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","All Types Ki +3 and HP, ATK & DEF +60%",Kamehameha,Causes supreme damage to enemy,Indignation,ATK & DEF +60%; high chance[1] of evading enemy's attack (including Super Attack) for 7 turns from start of turn; plus an additional ATK & DEF +10% (up to 60%) with each attack evaded (including Super Attack),"[""Worthy Rivals"", ""Dragon Ball Heroes"", ""Battle of Wits"", ""Crossover"", ""Storied Figures""]","[""2706"", ""8929"", ""10929"", ""13929""]","[""2487"", ""8205"", ""10205"", ""13605""]","[""1345"", ""4439"", ""6439"", ""9039""]",,,,,,,,,,,,,,,,,,,,,,,,,
Swirling Dark Magic,Darkness Towa,120,10-Jan,UR,Extreme AGL,11676,"[""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Stun""]","AGL Type Ki +3 and HP, ATK & DEF +80%",Instinctive Punch,Disables enemy's guard and causes colossal damage to enemy,Power of Light,"ATK & DEF +77%; great chance[1] of evading enemy's attack (including Super Attack) for 7 turns from start of turn, and high chance[2] of evading enemy's attack (including Super Attack) starting from the 8th turn; plus an additional Ki +1 (up to +7) and ATK & DEF +11% (up to 77%) with each attack evaded (including Super Attack)","[""Peppy Gals"", ""Time Travelers"", ""Resurrected Warriors"", ""Siblings' Bond"", ""Dragon Ball Heroes"", ""Revenge"", ""Battle of Wits"", ""Crossover""]","[""3057"", ""10091"", ""12091"", ""14691""]","[""2503"", ""8263"", ""10263"", ""13263""]","[""1636"", ""5398"", ""7398"", ""10798""]",,,,,,,,,,,,,,,,,,,,,,,,,
Unmeasurable Super Combat Power,Super Saiyan 3 Gohan (Teen),120,10-Jan,UR,Super INT,11677,"[""Additional Attack"", ""Boost Category"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","INT Type Ki +3 and HP, ATK & DEF +80%",Destruction's Conductor,"Causes supreme damage to enemy, lowers ATK[1] and seals Super Attack",Eternally Untainted World,"ATK & DEF +60%; high chance[2] of evading enemy's attack (including Super Attack); ""Universe 6"", ""Realm of Gods"", ""Siblings' Bond"" and ""Bond of Master and Disciple"" Category allies' ATK & DEF +20%; randomly changes Ki Spheres of a certain Type to Rainbow Ki Ki Spheres when there is a ""Universe 6"" Category ally (self excluded) attacking in the same turn","[""Hybrid Saiyans"", ""Super Saiyan 3"", ""Goku's Family"", ""Dragon Ball Heroes"", ""Crossover""]","[""2746"", ""9065"", ""11065"", ""14065""]","[""2864"", ""9454"", ""11454"", ""14454""]","[""1341"", ""4423"", ""6423"", ""9423""]",,,,,,,,,,,,,,,,,,,,,,,,,
Savage and Sly Majin,Buu (Kid) (Babidi),120,10-Jan,UR,Extreme INT,11678,"[""Additional Attack"", ""Boost Category"", ""Diverse Super Attack"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","INT Type Ki +3 and HP, ATK & DEF +80%",Brotherhood Galick Gun,Causes supreme damage to enemy and raises allies' ATK by 25% for 1 turn,Power Level over 1 Million,"Changes STR Ki Spheres to AGL Ki Spheres and ATK & DEF +60%; chance of evading enemy's attack (including Super Attack) +30% when there are another 2 or more ""Vegeta's Family"" Category allies on the team; ""Siblings' Bond"" Category allies' Ki +1 and ATK & DEF +20%","[""Transformation Boost"", ""Artificial Life Forms"", ""Dragon Ball Heroes"", ""Majin Power"", ""Power Absorption"", ""Crossover""]","[""2902"", ""9577"", ""11577"", ""14577""]","[""2297"", ""7583"", ""9583"", ""12583""]","[""1485"", ""4901"", ""6901"", ""9901""]",,,,,,,,,,,,,,,,,,,,,,,,,
Successors of Ultimate Strength,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),120,10-Jan,UR,Super TEQ,11680,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Evasion"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","""Siblings' Bond"" Category Ki +3, ATK +150% and HP & DEF +130%;<br/>or<br/>""Goku's Family"" Category Ki +3, ATK +150% and HP & DEF +110%",Instant Transmission Kamehameha,Causes supreme damage with a medium chance of stunning the enemy[1],Pulsing Strength,"DEF +70%; ATK +120% for 7 turns from start of turn and high chance[2] of evading enemy's attack (including Super Attack) starting from the 8th turn from the start of battle; plus an additional ATK & DEF +59% when there is an ally whose name includes ""Goten (disambiguation)"" attacking in the same turn; ""Goku's Family"" Category allies' Ki +1 and ATK & DEF +20%","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Joined Forces"", ""Movie Heroes"", ""Goku's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Kamehameha""]","[""2674"", ""8825"", ""10825"", ""13425""]","[""2928"", ""9663"", ""11663"", ""15063""]","[""1461"", ""4822"", ""6822"", ""9822""]",,,,,,,,,,,,,,,,,,,,,,,,,
Miracle-Calling Clash,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),150,20-Jan,LR,Super TEQ,11681,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Diverse Super Attack"", ""Evasion"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","""Siblings' Bond"" Category Ki +4, ATK +170% and HP & DEF +150%;<br/>or<br/>""Goku's Family"" Category Ki +3, ATK +170% and HP & DEF +130%",Fusion,Causes supreme damage to enemy and lowers ATK[1],Transformed At Last!,"ATK & DEF +70%; ""Goku's Family"" Category allies' Ki +1 and ATK & DEF +30%; Ki +5 and all allies' ATK & DEF +10% when there is an ally whose name includes ""Goku (disambiguation)"" or ""Trunks (disambiguation)"" attacking in the same turn","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Full Power"", ""Joined Forces"", ""Movie Heroes"", ""Goku's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Kamehameha""]","[""5121"", ""16900"", ""18900"", ""21500""]","[""4886"", ""16125"", ""18125"", ""21525""]","[""2733"", ""9019"", ""11019"", ""14019""]",,,,,,,,,,,,,,,,,,,,,,,,,
Vow to Grow,Super Saiyan Caulifla & Super Saiyan Kale,120,10-Jan,UR,Super AGL,11683,"[""Boost Category"", ""Boost Type"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Joined Forces"" Category Ki +3 and HP, ATK & DEF +100%;<br/>or<br/>Super_AGL Type Ki +3 and HP, ATK & DEF +90%",Wolf Fang Volleyball Fist,Causes supreme damage to enemy and greatly lowers DEF[1],Exploding Rage!,"ATK & DEF +90% when performing a Super Attack; launches an additional attack that has a medium chance[2] of becoming a Super Attack when facing only 1 enemy; plus an additional ATK & DEF +40% when attacking if the target enemy is in ""DEF Down"" status","[""Peppy Gals"", ""Universe Survival Saga"", ""Pure Saiyans"", ""Joined Forces"", ""Universe 6"", ""Rapid Growth""]","[""2867"", ""9463"", ""11463"", ""14063""]","[""2760"", ""9110"", ""11110"", ""14110""]","[""1573"", ""5194"", ""7194"", ""10594""]",,,,,,,,,,,,,,,,,,,,,,,,,
Two Makes the Strongest of All Universes,Super Saiyan 2 Caulifla & Super Saiyan 2 Kale,150,20-Jan,LR,Super AGL,11684,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Transformation""]","""Joined Forces"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Super_AGL Type Ki +4 and HP, ATK & DEF +100%",Heatwave Magnetron,Causes colossal damage to enemy and greatly lowers DEF[1],Nightmarish Demise,"ATK & DEF +200%; Ki +1 with each attack received (up to +5); attacks effective against all Types when the target enemy is in ""ATK Down"" or ""DEF Down"" status; performs a critical hit when the target enemy is stunned","[""Peppy Gals"", ""Universe Survival Saga"", ""Pure Saiyans"", ""Full Power"", ""Joined Forces"", ""Universe 6"", ""Super Saiyan 2"", ""Rapid Growth""]","[""5507"", ""18175"", ""20175"", ""22775""]","[""4551"", ""15020"", ""17020"", ""20020""]","[""2958"", ""9763"", ""11763"", ""15163""]",,,,,,,,,,,,,,,,,,,,,,,,,
Super Saiyan Counterattack,Super Saiyan Broly,120,10-Jan,UR,Extreme TEQ,11686,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Transformation""]","""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +100%;<br/>or<br/>Extreme_TEQ Type Ki +3 and HP, ATK & DEF +90%",Kamehameha,Causes supreme damage to enemy and greatly lowers DEF[1],Elated Mettle,"ATK & DEF +120%; Ki +3 and high chance[2] of evading enemy's attack (including Super Attack) when there is an ally or enemy whose name includes ""Goku (disambiguation)""; plus an additional ATK +120% & DEF +80% for 5 turns after evading an attack","[""Resurrected Warriors"", ""Movie Bosses"", ""Pure Saiyans"", ""Super Saiyans"", ""Target: Goku"", ""Exploding Rage"", ""Revenge"", ""Planetary Destruction""]","[""3157"", ""10419"", ""12419"", ""15019""]","[""2825"", ""9323"", ""11323"", ""14723""]","[""1348"", ""4450"", ""6450"", ""9450""]",,,,,,,,,,,,,,,,,,,,,,,,,
Nightmarish Impact,Super Saiyan Broly,150,20-Jan,LR,Extreme TEQ,11687,"[""Boost Category"", ""Category Matchup"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Resurrected Warriors"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_TEQ Type Ki +4 and HP, ATK & DEF +100%",Turtle School Dance,Causes supreme damage with a medium chance of stunning the enemy[1],New Hero in Red,"ATK & DEF +120%; attacked enemy's ATK & DEF -20% for 2 turns; Ki +3 plus an additional ATK & DEF +120% when HP is 50% or more; high chance[2] of evading enemy's attack (including Super Attack) when HP is 49% or less; attacks effective against all Types when the name of an ally who is attacking in the same turn or an enemy includes ""Goku (disambiguation)"" (Captain Ginyu, Jr., etc. excluded)","[""Resurrected Warriors"", ""Movie Bosses"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Super Saiyans"", ""Target: Goku"", ""Exploding Rage"", ""Revenge"", ""Inhuman Deeds"", ""Planetary Destruction"", ""Legendary Existence""]","[""6087"", ""20088"", ""22088"", ""24688""]","[""4680"", ""15445"", ""17445"", ""20845""]","[""2507"", ""8275"", ""10275"", ""13275""]",,,,,,,,,,,,,,,,,,,,,,,,,
Nightmarish Impact,Legendary Super Saiyan Broly,150,20-Jan,LR,Extreme TEQ,41688,"[""Boost Category"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack""]","""Resurrected Warriors"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_TEQ Type Ki +4 and HP, ATK & DEF +100%",Perfect Flash,Greatly raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Charisma of a Hero,ATK & DEF +120%; Extreme Class allies' Ki +2 and ATK & DEF +30%; Super Class enemies' DEF -60%; high chance[2] of launching an additional Super Attack when facing 2 or more enemies,"[""Resurrected Warriors"", ""Movie Bosses"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Super Saiyans"", ""Target: Goku"", ""Exploding Rage"", ""Revenge"", ""Inhuman Deeds"", ""Planetary Destruction"", ""Legendary Existence""]","[""6087"", ""20088"", ""22088"", ""24688""]","[""4680"", ""15445"", ""17445"", ""20845""]","[""2507"", ""8275"", ""10275"", ""13275""]",,,,,,,,,,,,,,,,,,,,,,,,,
Strike for Destiny,Super Saiyan Gohan (Teen),120,10-Jan,UR,Super PHY,11690,"[""Boost Category"", ""Evasion"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Movie Heroes"" Category Ki +3 and HP, ATK & DEF +120%",Destructo Disc & Galick Gun,"Greatly raises ATK & DEF for 1 turn[1], causes supreme damage to enemy and lowers ATK[2]",Plan to Create a New Era,ATK & DEF +60%; plus an additional ATK & DEF +6% per Ki Sphere obtained; Ki +1 and launches an additional attack (up to 2 additional attacks within the turn) per Rainbow Ki Ki Sphere obtained,"[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Movie Heroes"", ""Goku's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Defenders of Justice""]","[""2557"", ""8440"", ""10440"", ""13840""]","[""2520"", ""8318"", ""10318"", ""13318""]","[""1410"", ""4655"", ""6655"", ""9255""]",,,,,,,,,,,,,,,,,,,,,,,,,
A Lesson in Good and Evil,Gowasu & Zamasu,120,10-Jan,UR,Super PHY,11702,"[""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +120%",Destructo Disc & Galick Gun,"Greatly raises ATK & DEF for 1 turn[1], causes colossal damage to enemy and lowers ATK[2]",Final Step of the Plan,"ATK & DEF +70%; plus an additional ATK & DEF +7% per Ki Sphere obtained; chance of performing a critical hit +7%, Ki +2 and launches an additional attack (up to 3 additional attacks within the turn) per Rainbow Ki Ki Sphere obtained","[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Joined Forces"", ""Time Travelers"", ""Bond of Master and Disciple""]","[""2777"", ""9167"", ""11167"", ""14567""]","[""2665"", ""8797"", ""10797"", ""13797""]","[""1573"", ""5193"", ""7193"", ""9793""]",,,,,,,,,,,,,,,,,,,,,,,,,
Definite Path,Vados,120,10-Jan,UR,Super AGL,11704,"[""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Transformation""]","""Universe 6"" Category Ki +2 and HP, ATK & DEF +66%",Justice Formation,Causes supreme damage to enemy and lowers ATK & DEF[1],Dominance and Rule,"ATK & DEF +110%; plus an additional ATK & DEF +110% when there are 3 or more ""Universe 11"" Category allies on the team; guards all attacks when there is another ""Universe 11"" Category ally attacking in the same turn; ""Universe 11"" Category allies' Ki +3 and ATK & DEF +30%","[""Realm of Gods"", ""Universe 6"", ""Siblings' Bond"", ""Bond of Master and Disciple"", ""Space-Traveling Warriors""]","[""2563"", ""8460"", ""9660"", ""11220""]","[""2231"", ""7363"", ""8563"", ""10363""]","[""1097"", ""3623"", ""4823"", ""6863""]",,,,,,,,,,,,,,,,,,,,,,,,,
Power to Overcome Adversity,Mai (Future),120,10-Jan,UR,Super INT,11706,"[""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense"", ""Transformation""]","""Time Travelers"" Category Ki +3 and HP, ATK & DEF +120%;<br/>or<br/> INT Type Ki +3 and HP, ATK & DEF +70%",Solar Flare x100,Causes supreme damage and lowers ATK[1] with a high chance of stunning the enemy[2],The Elites' Cells,"ATK & DEF +180% and medium chance[3] of evading enemy's attack (including Super Attack); Ki +2 plus an additional ATK & DEF +120% when your team has ""Android 18 (disambiguation)"" attacking in the same turn; attacks effective against all Types when the target enemy is stunned","[""Peppy Gals"", ""Future Saga"", ""Time Travelers"", ""Revenge"", ""Earthlings"", ""Battle of Wits"", ""Connected Hope""]","[""3120"", ""10296"", ""12296"", ""15296""]","[""2466"", ""8140"", ""10140"", ""13140""]","[""1651"", ""5450"", ""7450"", ""10450""]",,,,,,,,,,,,,,,,,,,,,,,,,
Resilient Will to Protect the Future,Trunks (Teen) (Future),120,10-Jan,UR,Super TEQ,11708,"[""Attack Effective to All"", ""Boost Category"", ""Boost Type"", ""Change Ki Spheres"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Transformation""]","""Future Saga"" Category Ki +3, HP & ATK +170% and DEF +130%; <br/>or<br/> Super_Class Ki +3 and HP, ATK & DEF +120%",Kamehameha,"Greatly raises ATK for 1 turn[1], causes supreme damage to enemy and greatly lowers DEF[2]",Hybrid Cells,"Ki +1 (up to +3) and ATK & DEF +20% (up to 80%) at start of each turn; plus an additional ATK & DEF +150% when performing a Super Attack; ""Kamehameha (Category)"" Category allies' Ki +3 and ATK +30%","[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Transformation Boost"", ""Super Saiyans"", ""Bond of Master and Disciple"", ""Revenge"", ""Battle of Wits"", ""Miraculous Awakening""]","[""3863"", ""12750"", ""14750"", ""17350""]","[""3515"", ""11600"", ""13600"", ""17000""]","[""2121"", ""7000"", ""9000"", ""12000""]",,,,,,,,,,,,,,,,,,,,,,,,,
Resilient Will to Protect the Future,Super Saiyan Trunks (Future),120,10-Jan,UR,Super TEQ,41709,"[""Boost All"", ""Boost Category"", ""Damage Reduction"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Transformation""]","""Future Saga"" Category Ki +3, HP & ATK +170% and DEF +130%; <br/>or<br/>Super_Class Ki +3 and HP, ATK & DEF +120%",Explosive Demon Flash,Greatly raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Combat Data of Goku Black and Hit,ATK & DEF +70%; plus an additional ATK & DEF +10% with each attack performed (up to 58%); Super Class allies' Ki +3 and ATK & DEF +30%; plus an additional Ki +3 and ATK & DEF +58% when there is an Extreme Class enemy; Extreme Class enemies' DEF -58%,"[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Transformation Boost"", ""Super Saiyans"", ""Bond of Master and Disciple"", ""Revenge"", ""Battle of Wits"", ""Miraculous Awakening""]","[""3865"", ""12750"", ""14750"", ""17350""]","[""3515"", ""11600"", ""13600"", ""17000""]","[""2121"", ""7000"", ""9000"", ""12000""]",,,,,,,,,,,,,,,,,,,,,,,,,
Resilient Will to Protect the Future,Super Saiyan Trunks (Future),120,10-Jan,UR,Super TEQ,41710,"[""Boost All"", ""Boost Category"", ""Damage Reduction"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Transformation""]","""Future Saga"" Category Ki +3, HP & ATK +170% and DEF +130%; <br/>or<br/>Super_Class Ki +3 and HP, ATK & DEF +120%",Final Cannon,Greatly raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,The Glamour of Adventure,"ATK & DEF +150%; plus an additional ATK & DEF +150% when facing only 1 enemy; evades enemy's attack (including Super Attack) for 1 turn when HP is 50% or less (once only), and high chance[2] of evading enemy's attack (including Super Attack) when HP is 50% or less starting from the next attacking turn; evades enemy's attack (including Super Attack) for 1 turn when HP is 30% or less","[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Transformation Boost"", ""Super Saiyans"", ""Bond of Master and Disciple"", ""Revenge"", ""Battle of Wits"", ""Miraculous Awakening""]","[""3865"", ""12750"", ""14750"", ""17350""]","[""3515"", ""11600"", ""13600"", ""17000""]","[""2121"", ""7000"", ""9000"", ""12000""]",,,,,,,,,,,,,,,,,,,,,,,,,
